CustomerID,Recency,T,Frequency,MonetaryValue
1,36,579,1,129.47500000000002
3,140,577,5,210.22833333333332
4,32,584,1,165.86
5,30,581,1,44.135
7,29,590,1,323.73
8,178,582,6,209.02285714285716
9,30,579,1,450.41999999999996
12,176,591,6,278.36
13,33,575,1,406.775
15,25,589,1,152.84
16,268,592,9,238.435
17,81,581,3,116.19000000000001
18,126,578,4,348.082
19,125,583,4,177.38
20,34,584,1,337.21000000000004
21,179,590,6,279.1957142857143
22,200,570,7,270.06125
23,25,578,1,240.425
24,77,580,3,146.4025
26,53,591,2,250.63
27,25,590,1,93.82499999999999
28,29,581,1,257.205
30,117,581,4,160.584
31,78,584,3,172.29
32,92,585,3,358.08
34,94,580,3,220.905
35,40,583,1,456.815
38,265,579,9,148.783
39,359,584,12,215.91307692307691
41,64,578,2,158.4333333333333
42,291,582,9,361.002
43,59,585,2,298.4566666666667
44,34,577,1,167.255
46,108,587,4,315.464
48,263,586,9,304.313
49,60,578,2,316.2
50,327,589,11,223.77916666666667
51,31,582,1,158.365
53,187,577,7,246.45749999999998
54,308,586,9,219.13899999999998
55,279,577,10,324.38
56,28,579,1,416.025
57,154,585,5,303.81666666666666
58,127,582,4,302.036
59,244,579,7,239.21
60,100,581,4,178.728
62,227,579,7,206.44625000000002
63,121,584,4,367.004
64,125,583,5,164.415
65,182,583,6,313.5828571428571
66,27,584,1,278.40999999999997
67,30,582,1,206.275
69,32,590,1,442.96500000000003
71,103,580,3,317.5075
72,144,578,5,273.82166666666666
73,92,583,3,227.60500000000002
76,168,590,6,232.76
77,81,592,3,192.5575
78,138,571,5,268.1566666666667
79,101,575,4,273.53000000000003
81,540,577,17,235.17388888888888
84,54,581,2,405.75
87,92,582,3,220.66500000000002
88,226,597,8,222.61444444444444
89,92,581,3,116.69
90,29,580,1,278.345
91,55,580,2,275.1433333333333
92,45,579,1,112.64000000000001
93,60,569,2,214.04666666666665
95,277,574,9,350.863
96,203,574,6,328.45714285714286
97,30,590,1,327.31
98,58,584,2,310.71
99,53,577,2,243.98000000000002
101,116,573,4,283.51599999999996
102,209,577,7,161.95624999999998
103,157,582,5,305.7183333333333
104,95,592,3,214.2525
105,127,583,4,257.896
106,102,578,3,196.315
107,210,579,7,278.8825
108,49,582,2,313.32666666666665
111,165,588,6,325.83
112,67,585,2,321.15000000000003
113,68,594,2,227.61666666666667
115,27,586,1,398.615
116,20,586,1,275.575
118,170,580,6,266.9842857142857
119,32,586,1,207.33499999999998
120,109,583,3,330.83
121,88,574,3,118.01750000000001
123,43,577,1,364.455
124,58,579,2,180.04666666666665
128,119,587,4,266.26
129,20,592,1,298.925
130,33,583,1,290.69
131,365,577,12,230.50384615384615
132,53,585,2,242.00666666666666
133,59,584,2,339.94
134,263,587,9,310.653
136,29,574,1,108.565
138,195,586,8,274.25333333333333
139,277,578,9,258.944
140,60,577,3,264.915
143,23,577,1,314.57500000000005
144,125,586,4,286.094
145,68,586,2,220.24
146,22,585,1,201.285
147,68,585,2,292.89
148,29,590,1,192.47
149,212,576,7,256.0725
150,111,581,4,168.116
151,128,573,4,291.602
152,270,584,9,211.623
156,141,586,5,383.0333333333333
157,93,575,3,264.005
158,144,586,5,171.20666666666668
159,50,592,2,356.84999999999997
160,85,587,3,316.6325
161,31,581,1,237.57
162,31,582,1,183.565
163,69,579,2,229.63333333333333
164,415,593,13,247.035
165,28,582,1,145.825
166,48,585,2,202.71666666666667
167,47,577,2,255.38666666666666
168,262,584,8,208.9688888888889
169,94,576,3,183.48250000000002
170,357,586,13,278.35071428571433
171,62,583,2,193.30999999999997
172,56,580,2,257.6933333333333
174,82,573,3,131.485
175,26,583,1,286.475
178,64,584,2,147.81
179,205,589,7,233.725
180,267,576,9,264.944
181,79,583,3,235.5
182,25,590,1,115.54
183,107,578,4,189.172
185,139,574,5,256.14
186,32,584,1,464.65
187,159,580,6,176.59142857142857
188,141,587,5,264.8833333333333
189,364,576,11,244.04166666666666
190,27,584,1,407.96500000000003
191,181,587,6,348.2885714285714
193,27,582,1,326.905
197,136,578,4,209.882
198,110,574,4,219.36999999999998
199,49,583,2,439.2633333333333
